Change,Close,Date,Momentum,open
0.001438124,526.343506,2/3/2015,1,526.3420679
0.012243941,519.898987,2/4/2015,0,519.9112309
0.009220212,524.692566,2/5/2015,1,524.6833458
0.006482474,528.093872,2/6/2015,1,528.0873895
0.005969865,524.941223,2/9/2015,0,524.9471929
0.017259304,534.001343,2/10/2015,1,533.9840837
0.001806477,533.036682,2/11/2015,0,533.0384885
0.012985739,539.958557,2/12/2015,1,539.9455713
0.01119855,546.00531,2/13/2015,1,545.9941115
0.011238407,539.86908,2/17/2015,0,539.8803184
0.005784371,536.746277,2/18/2015,0,536.7520614
0.005878064,539.901306,2/19/2015,1,539.8954279
0.007225284,536.000366,2/20/2015,0,536.0075913
0.013062426,528.998901,2/23/2015,0,529.0119634
0.007858438,533.156006,2/24/2015,1,533.1481476
0.014512501,540.893433,2/25/2015,1,540.8789205
0.021346991,552.43988,2/26/2015,1,552.418533
0.005256777,555.343933,2/27/2015,1,555.3386762
0.023173281,568.213074,3/2/2015,1,568.1899007
0.004025627,570.500488,3/3/2015,1,570.4964624
0.000470627,570.231995,3/4/2015,0,570.2324656
0.003418396,572.181274,3/5/2015,1,572.1778556
0.013288007,564.578125,3/6/2015,0,564.591413
0.002052097,565.736694,3/9/2015,1,565.7346419
0.02432973,551.972473,3/10/2015,0,551.9968027
0.006900744,548.163452,3/11/2015,0,548.1703527
0.007855823,552.469727,3/12/2015,1,552.4618712
0.014743146,544.324585,3/13/2015,0,544.3393281
0.013136711,551.47522,3/16/2015,1,551.4620833
0.006618435,547.825317,3/17/2015,0,547.8319354
0.015721342,556.437866,3/18/2015,1,556.4221447
0.00269879,554.936157,3/19/2015,0,554.9388558
0.004247436,557.293213,3/20/2015,1,557.2889656
0.002766165,555.751648,3/23/2015,0,555.7544142
0.02036476,567.069397,3/24/2015,1,567.0490322
0.02000212,555.726807,3/25/2015,0,555.7468091
0.006469393,552.131592,3/26/2015,0,552.1380614
0.012302507,545.338989,3/27/2015,0,545.3512915
0.006729392,549.008789,3/30/2015,1,549.0020596
0.007300311,545.000854,3/31/2015,0,545.0081543
0.0099271,539.590576,4/1/2015,0,539.6005031
